Year,Case,Revenue Growth (%),EBIT Growth (%),Net Income Growth (%),Free Cash Flow Growth (%),Rationale
2025,Base,5.5,-12.0,-15.0,-10.0,"Record backlog ($179B) drives topline, but significant Q3 charges on fixed-price classified programs and Aero margins severely compress earnings and cash flow."
2025,Bear,3.0,-20.0,-25.0,-18.0,"Government shutdown extends into Q4 disrupting payments; continued cost overruns on fixed-price development contracts trigger additional material write-downs."
2025,Bull,7.0,-5.0,-8.0,-5.0,"Revenue beats on accelerated F-35 deliveries; management successfully rings-fences Q3 charges preventing further margin bleed in Q4."
2026,Base,4.5,18.0,20.0,15.0,"Profitability rebounds off a low 2025 base as one-off charges subside; 'One Big Beautiful Bill Act' mandatory funding begins to flow to MFC and Space."
2026,Bear,1.5,2.0,3.0,5.0,"Supply chain fragility persists preventing margin recovery; inflation remains sticky on fixed-price contracts causing continued stagnant profitability."
2026,Bull,6.0,25.0,28.0,22.0,"Rapid margin expansion as supply chain issues resolve; international demand for munitions (MFC) drives high-margin mix shift."
2027,Base,4.0,6.0,8.0,7.0,"Steady state growth driven by international F-35 sustainment and replenishment of global munitions stockpiles; buybacks support EPS."
2027,Bear,0.5,-2.0,0.0,0.0,"Post-surge demand cools; pension headwinds resurface requiring cash contributions that divert from operations and buybacks."
2027,Bull,5.5,10.0,12.0,10.0,"Geopolitical tensions sustain high export volume; Space segment margins expand significantly as next-gen interceptor programs mature."
2028,Base,3.5,5.0,7.0,6.0,"Maturation of classified development programs into production phases improves overall margin profile; consistent capital returns."
2028,Bear,-1.0,-4.0,-2.0,-5.0,"Budget pressures return as mandatory funding from 2025 legislation tapers; legacy platforms face retirement without equal replacement volume."
2028,Bull,5.0,8.0,10.0,9.0,"Commercialization of space and successful integration of next-gen fighter tech secures dominance; effective tax rate remains advantageous."
2029,Base,3.0,4.0,5.0,5.0,"Long-cycle programs provide stability; revenue growth tracks global defense spending GDP multiplier."
2029,Bear,-2.0,-5.0,-6.0,-5.0,"Loss of market share to non-traditional tech entrants in Space and AI sectors erodes backlog; fixed-price risks rematerialize."
2029,Bull,4.5,6.0,9.0,8.0,"Dominance in hypersonic defense and successful next-gen aircraft rollout drives premium pricing power and robust cash conversion."
TV,Base,2.5,2.5,2.5,2.5,"Assumes growth aligns with long-term US defense budget expansion and inflation targets."
TV,Bear,1.0,1.0,1.0,1.0,"Assumes stagnation in defense spending and increased competition commoditizing hardware margins."
TV,Bull,3.5,3.5,3.5,3.5,"Assumes sustained geopolitical instability and successful pivot to high-margin software/tech integration."
