Year,Case,Revenue Growth (%),EBIT Growth (%),Net Income Growth (%),Free Cash Flow Growth (%),Rationale
1,Bear,1.5,-12.0,-15.0,-5.0,Americas comparable sales remain negative due to product stagnation; $240M tariff impact and heavy markdowns to clear excess inventory severely compress margins.
1,Base,6.5,4.0,4.5,12.0,International strength offsets soft Americas traffic; Spring 2026 product refresh stabilizes top line while working capital release from inventory clearance boosts FCF despite tariff margin drag.
1,Bull,11.0,14.0,16.0,18.0,Spring 2026 launch reinvigorates US demand faster than anticipated; China accelerates; strong price realization and supply chain agility fully offset tariff headwinds.
2,Bear,2.0,2.0,3.0,2.0,Product refresh fails to regain lost market share from competitors like Vuori/Alo; China growth slows due to macro headwinds; growth settles at low-single digits.
2,Base,8.5,10.0,10.5,9.0,Full impact of new product assortment restores Americas to positive comps; Men's category gains traction; operational efficiencies and tariff mitigation strategies restore EBIT margins.
2,Bull,13.0,15.0,17.0,16.0,Men's category scales rapidly alongside strong adoption of new women's social/lounge styles; international markets outperform; operating leverage drives significant margin expansion.
3,Bear,2.5,2.5,3.0,2.5,Company faces structural maturity in North America with commoditized product offerings; reliance on China creates volatility; margins remain permanently compressed.
3,Base,9.0,10.5,11.0,10.0,Sustained international expansion and Men's category growth drive mid-to-high single digit revenue; buyback program supports net income; inventory management normalizes.
3,Bull,12.0,13.0,14.0,13.0,Brand successfully dominates the global wellness lifestyle market; accelerated store openings in APAC and Europe drive double-digit top-line growth.
4,Bear,2.0,2.0,2.0,2.0,Lululemon operates as a mature ex-growth retailer; limited pricing power due to "dupe" competition prevents margin recovery.
4,Base,8.0,9.0,9.5,9.0,Steady state growth achieved through balanced global portfolio; continued discipline in SG&A and moderate store expansion keeps earnings growth slightly above revenue.
4,Bull,11.0,12.0,12.5,12.0,Innovation pipeline creates new category wins (e.g. footwear/accessories); digital ecosystem increases customer lifetime value and retention globally.
5,Bear,1.5,1.5,1.5,1.5,Market saturation reached in key international hubs; lack of IP protection allows competitors to erode remaining premium positioning.
5,Base,7.0,7.5,8.0,7.5,Business matures into a steady global cash compounder; China market matures to high-single digit growth; strong cash generation fuels capital returns.
5,Bull,10.0,10.5,11.0,10.5,Continued double-digit growth driven by "Rest of World" markets entering hyper-growth phase and sustained dominance in premium performance wear.
TV,Bear,1.5,1.5,1.5,1.5,Terminal growth assumes inflationary growth only as brand equity fades in a saturated apparel market.
TV,Base,3.0,3.0,3.0,3.0,Terminal growth aligns with global GDP and sustained premium brand positioning in a mature athletic apparel sector.
TV,Bull,4.5,4.5,4.5,4.5,Terminal growth reflects a best-in-class global brand with enduring pricing power and successfully diversified revenue streams.
