Year,Case,Revenue Growth (%),EBIT Growth (%),Net Income Growth (%),Free Cash Flow Growth (%),Rationale
2026,Bear,55,45,42,45,"Strong demand but export limits and yield issues constrain upside; margins temporarily pressured."
2026,Base,70,65,67,55,"Blackwell ramps broadly; sovereign AI adds stability; margins ease slightly but remain exceptional."
2026,Bull,80,85,90,65,"Supply constraints ease quickly; enterprise adoption accelerates; ASP uplift enhances leverage."
2027,Bear,8,0,-2,30,"Hyperscalers digest 2026 buildout; competitive ASICs pressure pricing slightly but demand holds."
2027,Base,28,25,26,40,"Growth normalizes; sovereign AI offsets slower hyperscaler CapEx; margins stabilize as yields improve."
2027,Bull,42,45,48,50,"Second sovereign wave plus early Rubin demand; software attach rates strengthen profitability."
2028,Bear,-3,-10,-12,20,"Mild cyclical slowdown; overcapacity and delayed refreshes weigh on growth, but no structural damage."
2028,Base,16,18,19,30,"Rubin refresh cycle begins; increasing software share smooths volatility; steady demand across sectors."
2028,Bull,30,32,35,40,"Industrial automation and robotics boost compute needs; Nvidia maintains architectural leadership."
2029,Bear,3,4,5,15,"Gradual recovery from softer 2028; AI infra remains essential; margins stable but capped."
2029,Base,13,14,15,25,"AI adoption broadens; strong software renewals; disciplined OpEx management supports margin gains."
2029,Bull,22,25,26,30,"Rubin-class architectures expand into simulation and healthcare; ecosystem lock-in preserves pricing power."
2030,Bear,4,5,5,10,"Mature cycle behavior; growth tied to global cloud spend; competitive intensity limits upside."
2030,Base,10,11,12,18,"High software renewal rates; inference growth steady; capex needs moderate, boosting FCF conversion."
2030,Bull,18,20,21,24,"Platform status across automation and reasoning applications sustains above-industry growth."
TV,Bear,2,2,2,2.0,"Terminal growth aligns with long-term GDP amid competitive risks."
TV,Base,3.0,3.0,3.0,3.0,"Long-run growth modestly above GDP due to durable AI/software tailwinds."
TV,Bull,4.0,4.0,4.0,4.0,"Persistent platform dominance supports a higher—but still defensible—terminal growth rate."
