Year,Case,Revenue Growth (%),EBIT Growth (%),Net Income Growth (%),Free Cash Flow Growth (%),Rationale
2025,Bear,24.0,5.0,-65.0,10.0,"Macro headwinds dampen Q4 holiday spend; rising loan losses in Shopify Capital erode EBIT margins significantly."
2025,Base,29.0,35.0,-40.0,30.0,"Strong Q3 GMV momentum continues; EBIT grows on flat headcount leverage; Net Income declines due to Q4 debt settlement charge and investment loss comps."
2025,Bull,34.0,50.0,-25.0,45.0,"Enterprise adoption accelerates GMV; OpEx discipline drives massive operating leverage despite lower gross margins."
2026,Bear,15.0,-5.0,10.0,5.0,"Consumer discretionary spending recedes; competition from Salesforce/Adobe stalls Enterprise wins; continued credit deterioration."
2026,Base,22.0,25.0,45.0,20.0,"Normalization post-COVID cohorts; International expansion (EMEA) offsets North American maturity; Net Income rebounds off 2025 one-time lows."
2026,Bull,28.0,35.0,60.0,30.0,"Shopify Plus becomes dominant enterprise choice; B2B segment scales rapidly; Ad-tech (Shop Campaigns) adds high-margin revenue layer."
2027,Bear,10.0,-10.0,-5.0,0.0,"Market saturation in SMB; pricing pressure reduces take-rates; high fixed costs for global compliance weigh on margins."
2027,Base,18.0,20.0,20.0,18.0,"Steady state growth driven by international localization; operating leverage stabilizes; recurring revenue mix improves."
2027,Bull,25.0,30.0,30.0,28.0,"Global expansion reaches maturity in Asia/LATAM; AI monetization tools increase platform stickiness and pricing power."
2028,Bear,5.0,-5.0,-10.0,-2.0,"Niche player status as larger tech conglomerates bundle commerce; inability to manage credit risk forces exit from Capital business."
2028,Base,15.0,15.0,15.0,14.0,"Transition to mature compounder; growth aligns with broader e-commerce secular trends; focus shifts to FCF maximization."
2028,Bull,22.0,25.0,25.0,24.0,"Ecosystem dominance allows for aggressive take-rate expansion; high-margin services (Tax, Fulfillment software) drive profit."
2029,Bear,2.0,-2.0,-5.0,-5.0,"Stagnation resembling legacy telecom; maintenance capex eats into cash flow; significant churn to cheaper competitors."
2029,Base,12.0,12.0,12.0,12.0,"Growth approaches GDP+ levels; disciplined cost structure maintains margins; capital allocation shifts to buybacks."
2029,Bull,18.0,20.0,20.0,18.0,"Sustained innovation in offline/POS keeps growth above peers; highly profitable ad network rivals social media platforms."
TV,Bear,2.0,2.0,2.0,2.0,"Terminal growth assumes company matches long-term inflation/GDP with no excess return."
TV,Base,3.5,3.5,3.5,3.5,"Terminal growth reflects strong position in secularly growing e-commerce market."
TV,Bull,5.0,5.0,5.0,5.0,"Terminal growth assumes continued market share gains and pricing power in global commerce."
