Date,Ticker,Total Revenue,Cost Of Revenue,Operating Expense,EBIT,Interest Expense,Pretax Income,Tax Provision,Net Income,Diluted Average Shares,Depreciation And Amortization In Income Statement,Cash And Cash Equivalents,Accounts Receivable,Inventory,Accounts Payable,Working Capital,Net PPE,Gross PPE,Accumulated Depreciation,Stock Based Compensation,Total Debt,Long Term Debt,Current Debt,Operating Cash Flow,Capital Expenditure,Free Cash Flow,Change In Working Capital,Stockholders Equity,Invested Capital,Total Assets
2024-12-31,CROX,4102108000.0,1691850000.0,1388347000.0,1019849000.0,109264000.0,910585000.0,-39486000.0,950071000.0,59832000.0,46772000.0,180485000.0,257657000.0,356254000.0,264901000.0,132061000.0,551563000.0,705018000.0,-153455000.0,33053000.0,1701296000.0,1349339000.0,,992486000.0,-69347000.0,923139000.0,68430000.0,1835732000.0,3185071000.0,4812153000.0
2023-12-31,CROX,3962347000.0,1752337000.0,1173227000.0,1037623000.0,161351000.0,876272000.0,83706000.0,792566000.0,61952000.0,32415000.0,149288000.0,305747000.0,385054000.0,260978000.0,212408000.0,525755000.0,646265000.0,-120510000.0,29072000.0,1996360000.0,1640996000.0,23328000.0,930444000.0,-115625000.0,814819000.0,366525000.0,1453923000.0,3118247000.0,4643834000.0
2022-12-31,CROX,3554985000.0,1694703000.0,1009526000.0,854666000.0,136158000.0,718508000.0,178349000.0,540159000.0,62006000.0,26820000.0,191629000.0,295594000.0,471551000.0,230821000.0,384701000.0,421434000.0,518570000.0,-97136000.0,31303000.0,2594964000.0,2298027000.0,24362000.0,603142000.0,-104190000.0,498952000.0,-91682000.0,817931000.0,3140320000.0,4501797000.0
2021-12-31,CROX,2313416000.0,893196000.0,737156000.0,685496000.0,21647000.0,663849000.0,-61845000.0,725694000.0,63718000.0,,213197000.0,182629000.0,213520000.0,162145000.0,278326000.0,269166000.0,352911000.0,-83745000.0,38122000.0,963559000.0,771390000.0,,567165000.0,-55916000.0,511249000.0,-44526000.0,14082000.0,785472000.0,1545068000.0
2020-12-31,CROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,DECK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,DECK,3150339000.0,1542788000.0,1042844000.0,566721000.0,2083000.0,564638000.0,112689000.0,451949000.0,166734000.0,,843527000.0,302688000.0,506796000.0,327487000.0,1210444000.0,404908000.0,687479000.0,-282571000.0,26816000.0,222070000.0,,,172353000.0,-51017000.0,121336000.0,-325997000.0,1538825000.0,1538825000.0,2332250000.0
2023-03-31,DECK,3627286000.0,1801916000.0,1172619000.0,669524000.0,3442000.0,666082000.0,149260000.0,516822000.0,160116000.0,,981795000.0,301511000.0,532852000.0,265605000.0,1412873000.0,479981000.0,797489000.0,-317508000.0,26897000.0,246488000.0,,,537422000.0,-81025000.0,456397000.0,-54302000.0,1765733000.0,1765733000.0,2556203000.0
2024-03-31,DECK,4287763000.0,1902275000.0,1457974000.0,981505000.0,2564000.0,978941000.0,219378000.0,759563000.0,156288000.0,,1502051000.0,296565000.0,474311000.0,378503000.0,1723490000.0,527791000.0,876929000.0,-349138000.0,37288000.0,266879000.0,,,1033184000.0,-89365000.0,943819000.0,167806000.0,2107468000.0,2107468000.0,3135579000.0
2025-03-31,DECK,4985612000.0,2099949000.0,1706571000.0,1246816000.0,3517000.0,1243299000.0,277208000.0,966091000.0,152670000.0,,1889188000.0,332872000.0,495226000.0,417955000.0,2090534000.0,562951000.0,965915000.0,-402964000.0,37943000.0,276975000.0,,,1044523000.0,-86171000.0,958352000.0,-38204000.0,2513013000.0,2513013000.0,3570252000.0
2021-09-30,BIRK,962125000.0,416477000.0,334411000.0,230247000.0,79638000.0,150609000.0,34172000.0,116437000.0,187825592.0,,235343000.0,56429000.0,359215000.0,66426000.0,469534000.0,252168000.0,268164000.0,-15996000.0,,1922711000.0,1781729000.0,40749000.0,,,,,2064431000.0,3886909000.0,4267538000.0
2022-09-30,BIRK,1242833000.0,493031000.0,432291000.0,333160000.0,82636000.0,250524000.0,63413000.0,187111000.0,187825592.0,67234000.0,307078000.0,64604000.0,535605000.0,57335000.0,635940000.0,318530000.0,380658000.0,-62128000.0,,2082723000.0,1919635000.0,46606000.0,234136000.0,-72591000.0,161545000.0,-145016000.0,2357818000.0,4324059000.0,4788627000.0
2023-09-30,BIRK,1491911000.0,566118000.0,629050000.0,276937000.0,123285000.0,153652000.0,78630000.0,75022000.0,187825592.0,68570000.0,344407000.0,91694000.0,595092000.0,79555000.0,701964000.0,409037000.0,510726000.0,-101689000.0,,1954459000.0,1787057000.0,37343000.0,358733000.0,-102947000.0,255786000.0,-80452000.0,2400588000.0,4224988000.0,4827470000.0
